Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
153,6,0,0,0,0,0,0,0,0,30,65,FALSE,2.2,0.7,0,1.78,62,72,331,1916,1,0,-1,-1,-1
154,5,23,8,6,3,7,9,0,2,1001,7990,FALSE,8,1.6,3.2,2.03,97,72,578,1968,16,3,1991,1,9
155,6,25,3,11,2,10,10,4,1,976,9259,FALSE,5.3,1.9,1.2,1.8,83,72,557,1987,14,1,2008,1,9
156,3,2,1,0,0,1,0,0,0,27,42,FALSE,1.6,0.1,1.2,2.08,107,72,251,1984,2,0,2006,2,41
157,0,12,8,4,3,5,6,1,2,432,3285,FALSE,7.6,1.2,4.7,2.08,131,72,20,1969,9,1,1991,2,48
160,3,0,0,0,0,0,0,0,0,212,1724,FALSE,9.2,2.8,6.4,2.06,95,35,309,2001,2,0,2020,1,9
161,1,13,7,1,0,3,7,0,1,352,1958,FALSE,5.6,0.8,4.5,2.06,109,72,479,1969,6,0,1991,1,15
162,6,0,0,0,0,0,0,0,0,130,1085,FALSE,8.3,2.5,1.2,1.88,77,72,429,1952,2,0,1973,4,55
163,6,7,1,1,0,3,0,1,1,142,379,FALSE,2.7,1.4,0.7,1.88,82,72,163,1979,4,0,1999,1,14
164,1,15,12,8,2,6,4,0,2,733,3516,FALSE,4.8,2,4.6,2.08,107,72,474,1948,12,0,1970,3,46
167,4,8,7,2,1,4,3,0,3,237,690,FALSE,2.9,0.4,2.7,2.06,113,72,20,1987,7,0,2009,2,31
168,1,28,22,5,3,13,6,1,4,303,5046,FALSE,18,1.7,10,2.13,113,5,19,1998,4,2,2018,1,1
169,6,3,4,0,1,1,2,1,0,208,2178,FALSE,10.5,1.1,4,1.96,98,74,274,1983,5,0,-1,-1,-1
170,2,0,1,0,0,0,0,0,0,68,221,FALSE,3.5,0.3,3.3,2.11,122,47,271,1999,2,0,2020,1,27
171,6,0,0,0,0,0,0,0,0,14,22,FALSE,1.6,0.2,1.2,1.96,102,72,263,1990,3,0,-1,-1,-1
173,1,0,0,0,0,0,0,0,0,21,37,FALSE,1.8,0.5,1,2.13,109,72,546,1968,2,0,1990,2,50
174,3,0,0,0,0,0,0,0,0,34,119,FALSE,3.5,0.7,0,1.88,82,72,203,1924,1,0,1948,-1,-1
175,7,0,0,0,0,0,0,0,0,207,1503,FALSE,7.3,1.1,2.6,1.98,100,72,200,1995,5,0,2017,2,40
177,3,21,0,5,0,9,7,0,0,321,3123,FALSE,9.7,2.1,3.1,1.93,93,72,173,1927,5,0,1952,1,2
178,1,0,0,0,0,0,0,0,0,95,251,FALSE,2.6,0.4,2.5,2.16,132,16,54,1980,4,0,2000,1,24
179,6,35,7,15,5,11,12,1,1,665,5802,FALSE,8.7,6,2.6,1.83,84,72,60,1960,11,0,1982,1,12
180,3,0,0,0,0,0,0,0,0,208,2760,FALSE,12,0.9,6.4,2.08,107,72,163,1999,4,1,2018,1,2
182,6,13,0,5,0,5,4,0,1,147,389,FALSE,2.6,1.1,1.7,1.96,84,72,558,1951,5,0,1974,2,23
183,3,13,7,1,3,6,5,0,2,595,5246,FALSE,8.8,0.8,5,2.06,100,72,464,1957,9,0,1979,1,6
184,3,39,14,6,2,15,12,0,4,928,11834,FALSE,12.8,1.4,5.1,2.11,112,72,383,1961,12,2,1983,1,7
185,6,4,1,1,0,1,2,0,0,73,241,FALSE,3.3,0.6,1.7,1.98,97,72,577,1975,3,0,1998,2,45
186,4,0,0,0,0,0,0,0,0,36,44,FALSE,1.2,0.2,1,2.06,113,3,369,1990,3,0,2014,2,49
190,0,0,0,0,0,0,0,0,0,96,300,FALSE,3.1,1.8,1.4,1.93,100,72,631,1993,3,0,-1,-1,-1
191,3,28,12,3,4,12,7,1,3,791,11839,FALSE,15,1.9,7.4,2.11,109,72,233,1971,13,5,1993,1,8
192,0,3,2,2,1,1,2,1,1,56,174,FALSE,3.1,1.4,1.2,1.93,91,72,589,1996,3,0,2016,1,17
193,3,0,1,0,0,0,0,0,0,31,122,FALSE,3.9,0.4,1.3,2.06,100,72,640,2002,0,0,2022,1,28
194,0,4,3,1,2,2,0,0,0,221,894,FALSE,4,0.6,3.5,2.03,102,72,488,1984,7,0,2006,1,20
196,6,0,0,0,0,0,0,0,0,162,3149,FALSE,23.3,8.4,6.4,2.01,82,72,250,2001,2,5,2020,1,3
197,6,0,0,0,0,0,0,0,0,252,2995,FALSE,13,5.1,5.4,1.98,86,72,577,1997,5,1,2017,1,2
198,3,20,12,6,5,8,7,2,1,802,9953,FALSE,12.4,2.2,6.1,2.01,98,72,415,1955,11,2,1977,1,4
